homelat,homelon,homecontinent,n
-23.5886,-48.0483,South America,3
-23.9788,-48.8764,South America,1
-23.5488,-46.9327,South America,17
-22.4357,-46.8224,South America,1
-23.4835,-46.3457,South America,24
-24.1085,-49.3352,South America,1
-23.0035,-46.8464,South America,1
-23.1047,-48.6157,South America,1
-23.2544,-47.2927,South America,2
-23.1526,-47.0593,South America,1
-21.252,-48.3252,South America,5
-23.2983,-45.9658,South America,1
-20.8805,-49.5797,South America,1
-22.7037,-46.9851,South America,1
-20.2672,-50.5494,South America,1
-23.5275,-46.9023,South America,3
-22.2936,-48.5592,South America,1
-22.927,-46.2741,South America,1
-21.0551,-49.6892,South America,2
-23.1852,-46.8974,South America,12
-23.0506,-47.8375,South America,2
-22.6027,-48.8037,South America,3
-22.566,-47.397,South America,4
-23.0856,-46.9484,South America,1
-23.3171,-46.5897,South America,7
-22.2171,-49.9501,South America,4
-21.6025,-48.364,South America,2
-23.6677,-46.4613,South America,42
-20.8169,-49.5206,South America,4
-21.4647,-47.0024,South America,2
-23.5208,-46.1854,South America,50
-22.3675,-46.9428,South America,4
-21.2655,-48.4971,South America,3
-22.7832,-47.2941,South America,1
-20.7366,-48.9106,South America,2
-20.7169,-47.8852,South America,2
-23.5324,-46.7916,South America,121
-22.9797,-49.8697,South America,1
-24.7147,-47.8742,South America,2
-22.7542,-47.1488,South America,5
-22.7902,-46.4455,South America,1
-21.4148,-50.0769,South America,1
-24.312,-47.0012,South America,3
-22.9246,-45.4613,South America,1
-21.1853,-48.9086,South America,1
-22.7338,-47.6476,South America,12
-21.999,-49.4608,South America,1
-23.5333,-46.3473,South America,9
-23.2093,-47.5251,South America,0
-21.8498,-47.487,South America,2
-24.0084,-46.4121,South America,14
-22.1207,-51.3925,South America,3
-21.8732,-51.8447,South America,4
-21.5356,-49.8599,South America,1
-23.7067,-46.4058,South America,15
-21.1699,-47.8099,South America,36
-22.3984,-47.5546,South America,3
-23.7437,-46.3971,South America,4
-23.1996,-47.2931,South America,3
-23.6474,-47.5743,South America,2
-22.7553,-47.4143,South America,1
-23.3933,-45.8875,South America,2
-22.8988,-49.6354,South America,2
-23.3172,-46.2237,South America,1
-23.4439,-46.9178,South America,32
-23.6737,-46.5432,South America,139
-23.9535,-46.335,South America,144
-23.6914,-46.5646,South America,174
-23.6229,-46.5548,South America,62
-22.0174,-47.886,South America,4
-21.9707,-46.7944,South America,1
-21.5953,-46.8873,South America,1
-20.8113,-49.3758,South America,41
-23.1896,-45.8841,South America,85
-22.7321,-48.5723,South America,3
-23.8782,-47.9935,South America,1
-23.5329,-46.6395,South America,5982
-22.5483,-47.9096,South America,1
-23.5226,-47.1357,South America,3
-23.7951,-45.4143,South America,4
-23.9574,-46.3883,South America,14
-21.1316,-47.9875,South America,2
-23.4969,-47.4451,South America,18
-22.8204,-47.2728,South America,2
-23.5448,-46.3112,South America,30
-23.6019,-46.7526,South America,72
-20.6228,-49.6563,South America,1
-23.3487,-47.8461,South America,4
-23.0104,-45.5593,South America,6
-20.787,-48.3314,South America,1
-21.9335,-50.5191,South America,1
-22.9698,-46.9974,South America,4
-23.5993,-47.022,South America,5
-23.0302,-46.9833,South America,7
-23.5446,-47.4388,South America,2
-20.4237,-49.9781,South America,3
-7.19238,-48.2044,South America,6
-11.624,-46.8198,South America,1
-11.7279,-49.068,South America,1
-10.24,-48.3558,South America,15
